outcome,predictor,predictor_kind,label_only_rmse,mediator_rmse,relative_rmse_improvement,muon_coefficient_label_only,muon_coefficient_with_predictor,muon_absolute_coefficient_shrinkage,normuon_coefficient_label_only,normuon_coefficient_with_predictor,normuon_absolute_coefficient_shrinkage
validation_loss_p95,update_tail_energy_fraction,mechanism,0.05919279299643108,0.07323786057219239,-0.23727664914558327,-0.1823529601097108,5.201362355548302,-27.5235970527649,-0.1316238045692445,5.589020998791252,-41.46208364119263
validation_loss_p95,update_stable_rank_fraction,mechanism,0.05919279299643108,0.09490125336251795,-0.603256892578795,-0.1823529601097108,11.079208240690386,-59.75694210845107,-0.1316238045692445,10.03872099942405,-75.26827861629613
validation_loss_p95,update_entropy_rank_fraction,mechanism,0.05919279299643108,0.11916337063323794,-1.0131398537052083,-0.1823529601097108,-2.5366554132829315,-12.910689531756319,-0.1316238045692445,-2.508933082579188,-18.06139311798491
validation_loss_p95,update_head_energy_fraction,mechanism,0.05919279299643108,0.22879812833476626,-2.8653038106946775,-0.1823529601097108,10.012727020641035,-53.90849731540952,-0.1316238045692445,10.060405547659943,-75.43302501841433
validation_loss_p95,update_middle_energy_fraction,mechanism,0.05919279299643108,0.15625240575905094,-1.6397201052579478,-0.1823529601097108,10.980871662321011,-59.21767705725468,-0.1316238045692445,10.848219539020766,-81.41837086021737
validation_loss_p95,update_row_norm_cv,mechanism,0.05919279299643108,0.18910646440092022,-2.194754881938449,-0.1823529601097108,-1.502324760371219,-7.2385542821315365,-0.1316238045692445,0.34298154945531795,-1.6057714300066643
validation_loss_p95,update_frobenius_norm,negative_control,0.05919279299643108,0.20488025619079042,-2.461236509031485,-0.1823529601097108,2.13116927743825,-10.687056114449986,-0.1316238045692445,2.172097863926604,-15.502317882658598
validation_loss_p95,weight_frobenius_norm,negative_control,0.05919279299643108,0.11248919323366807,-0.9003866440370605,-0.1823529601097108,-26.67269118954376,-145.26958165908798,-0.1316238045692445,-26.55913056358379,-200.78060230443796
unseen_margin_p05,update_tail_energy_fraction,mechanism,0.004181269309852094,0.007058625915884421,-0.6881538577896837,-0.004392166932423909,-0.6206749006175711,-140.31405071050855,-0.002134489516417184,-0.6569860949872829,-306.7954189674622
unseen_margin_p05,update_stable_rank_fraction,mechanism,0.004181269309852094,0.004397511577781368,-0.051716895493852506,-0.004392166932423909,-0.8575066369365947,-194.23543848169763,-0.002134489516417184,-0.7725843554374918,-360.9527524006311
unseen_margin_p05,update_entropy_rank_fraction,mechanism,0.004181269309852094,0.010038192872678344,-1.400752529626806,-0.004392166932423909,-0.7495614426569561,-169.65868720142086,-0.002134489516417184,-0.7545857433815196,-352.5204729644765
unseen_margin_p05,update_head_energy_fraction,mechanism,0.004181269309852094,0.021697807197427657,-4.18928717322807,-0.004392166932423909,-0.9255676914196147,-209.73144660938942,-0.002134489516417184,-0.9230343747409763,-431.4379987072141
unseen_margin_p05,update_middle_energy_fraction,mechanism,0.004181269309852094,0.013565538882666515,-2.244359039658791,-0.004392166932423909,-0.8260486921371618,-187.07315497029379,-0.002134489516417184,-0.8102934430556079,-378.6193126381403
unseen_margin_p05,update_row_norm_cv,mechanism,0.004181269309852094,0.013537327418098464,-2.237611934299761,-0.004392166932423909,0.0529152625133988,-11.04764375478698,-0.002134489516417184,-0.022739787928840682,-9.653501811060764
unseen_margin_p05,update_frobenius_norm,negative_control,0.004181269309852094,0.019050673978021956,-3.5561939607989146,-0.004392166932423909,-0.07084112998267458,-15.128970294755948,-0.002134489516417184,-0.06830196071833124,-30.999201773067732
unseen_margin_p05,weight_frobenius_norm,negative_control,0.004181269309852094,0.0076623829334947005,-0.8325494881279831,-0.004392166932423909,0.15981764138575463,-35.386968857205055,-0.002134489516417184,0.1616858355258373,-74.7491823137331
