exact_cumulative_frobenius_norm,exact_cumulative_full_entropy_effective_rank_fraction_parameter_weighted_nonzero,exact_cumulative_full_entropy_effective_rank_parameter_weighted_nonzero,exact_cumulative_insufficient_signal_rank_parameters,exact_cumulative_nonzero_parameter_fraction,exact_cumulative_nonzero_parameters,exact_cumulative_resolved_parameters,exact_cumulative_stable_rank_fraction_parameter_weighted_nonzero,exact_cumulative_stable_rank_parameter_weighted_nonzero,exact_cumulative_to_weight_ratio,exact_cumulative_top_rank_energy_parameter_weighted_nonzero,exact_cumulative_unresolved_boundary_parameters,exact_cumulative_zero_parameters,exact_saved_segment_frobenius_norm,exact_saved_segment_full_entropy_effective_rank_fraction_parameter_weighted_nonzero,exact_saved_segment_full_entropy_effective_rank_parameter_weighted_nonzero,exact_saved_segment_insufficient_signal_rank_parameters,exact_saved_segment_nonzero_parameter_fraction,exact_saved_segment_nonzero_parameters,exact_saved_segment_resolved_parameters,exact_saved_segment_stable_rank_fraction_parameter_weighted_nonzero,exact_saved_segment_stable_rank_parameter_weighted_nonzero,exact_saved_segment_to_weight_ratio,exact_saved_segment_top_rank_energy_parameter_weighted_nonzero,exact_saved_segment_unresolved_boundary_parameters,exact_saved_segment_zero_parameters,hidden_parameters,learning_rate,optimizer,progress_fraction,run_id,stage,step,weight_frobenius_norm
0.6938327477479118,0.550862675261366,423.06253460072907,0,1.0,110297088,110297088,0.0075699721115373274,5.813738581660667,0.0005799982843460815,0.6818705089909202,0,0,0.6938327477479118,0.550862675261366,423.06253460072907,0,1.0,110297088,110297088,0.0075699721115373274,5.813738581660667,0.0005799982843460815,0.6818705089909202,0,0,110297088,1e-06,adamw,0.2,verified-v3-adamw-1e-6,1,782,1196.266896772243
1.1272645274290658,0.5352546630742073,411.0755812409912,0,1.0,110297088,110297088,0.007207780936718429,5.535575759399753,0.0009423203018994578,0.6878808479153075,0,0,0.5189165022349987,0.6112394530957475,469.43189997753404,0,1.0,110297088,110297088,0.007942146903119443,6.0995688215957315,0.0004337806638535111,0.6134274880485405,0,0,110297088,1e-06,adamw,0.4,verified-v3-adamw-1e-6,2,1563,1196.2647150409596
1.375110060570226,0.5257545788130051,403.77951652838794,0,1.0,110297088,110297088,0.007085012946979223,5.441289943280044,0.0011495045082648792,0.6919942224140091,0,0,0.32471723536770636,0.6356435982538043,488.17428345892176,0,1.0,110297088,110297088,0.008726279926055703,6.70178298321078,0.0002714429460371358,0.5749973531351104,0,0,110297088,1e-06,adamw,0.6,verified-v3-adamw-1e-6,3,2345,1196.263303608863
1.5066435177002,0.5194871593180453,398.9661383562588,0,1.0,110297088,110297088,0.007016437162160381,5.388623740539173,0.001259458897611355,0.6952116249494306,0,0,0.1830534648803098,0.6469537781397725,496.8605016113453,0,1.0,110297088,110297088,0.009222222177723461,7.082666632491619,0.00015302114426776406,0.5557313537079139,0,0,110297088,1e-06,adamw,0.8,verified-v3-adamw-1e-6,4,3126,1196.2625541473776
1.5472044022126914,0.5171801097647439,397.1943242993234,0,1.0,110297088,110297088,0.006996121932682714,5.373021644300324,0.001293365487758337,0.6964841266985846,0,0,0.06144042416563009,0.6699587423975293,514.5283141613025,0,1.0,110297088,110297088,0.010138809184071475,7.786605453366893,5.136032708762638e-05,0.5175276564837168,0,0,110297088,1e-06,adamw,1.0,verified-v3-adamw-1e-6,5,3907,1196.2623224888337
1.542971313705683,0.6144311792535289,471.8831456667102,0,1.0,110297088,110297088,0.008386300451918734,6.440678747073588,0.001289825966468215,0.6059479750079301,0,0,1.542971313705683,0.6144311792535289,471.8831456667102,0,1.0,110297088,110297088,0.008386300451918734,6.440678747073588,0.001289825966468215,0.6059479750079301,0,0,110297088,3e-06,adamw,0.2,verified-v3-adamw-3e-6,1,782,1196.2631810945995
2.295924678591455,0.6059663909650803,465.3821882611816,0,1.0,110297088,110297088,0.00833141733738624,6.398528515112632,0.0019192524489115754,0.6065663648220094,0,0,1.0855723234264527,0.6763341541028943,519.4246303510229,0,1.0,110297088,110297088,0.010753542028769481,8.25872027809496,0.0009074719914091709,0.49375991168922095,0,0,110297088,3e-06,adamw,0.4,verified-v3-adamw-3e-6,2,1563,1196.2598666441684
2.6561899994374856,0.6038254198168348,463.73792241932915,0,1.0,110297088,110297088,0.008507777560683777,6.533973166605141,0.0022204154671367072,0.5995469858745028,0,0,0.6665797615464039,0.7053285592495929,541.6923335036875,0,1.0,110297088,110297088,0.01411014387811747,10.836590498394218,0.000557220685617888,0.4137405702891705,0,0,110297088,3e-06,adamw,0.6,verified-v3-adamw-3e-6,3,2345,1196.2581051836767
2.8324708354820554,0.6015887891057259,462.0201900331974,0,1.0,110297088,110297088,0.00863322694243374,6.630318291789112,0.0023677773893007866,0.5965784515854291,0,0,0.3794839755850212,0.718476793413569,551.790177341621,0,1.0,110297088,110297088,0.016621147821653363,12.765041527029783,0.0003172260648675892,0.37759487329910507,0,0,110297088,3e-06,adamw,0.8,verified-v3-adamw-3e-6,4,3126,1196.2572361240827
2.8862859915395203,0.6003015261601898,461.03157209102574,0,1.0,110297088,110297088,0.008644303479722538,6.6388250724269104,0.002412764240413535,0.5964368439959994,0,0,0.13568085071300492,0.7285912749579371,559.5580991676957,0,1.0,110297088,110297088,0.01818219566341043,13.963926269499211,0.00011342115981189078,0.35335395710824524,0,0,110297088,3e-06,adamw,1.0,verified-v3-adamw-3e-6,5,3907,1196.2569500967181
3.4346766578349612,0.6915974218388166,531.1468199722111,0,1.0,110297088,110297088,0.011993272269125638,9.21083310268849,0.0028713388046392382,0.46417950458806073,0,0,3.4346766578349612,0.6915974218388166,531.1468199722111,0,1.0,110297088,110297088,0.011993272269125638,9.21083310268849,0.0028713388046392382,0.46417950458806073,0,0,110297088,1e-05,adamw,0.2,verified-v3-adamw-1e-5,1,782,1196.1934454706407
4.749885007226594,0.6980794212858014,536.1249955474955,0,1.0,110297088,110297088,0.013508694252922365,10.374677186244375,0.003971109972468609,0.43088339862383296,0,0,2.5567800744253084,0.7427711429422456,570.4482377796446,0,1.0,110297088,110297088,0.02178462839886202,16.730594610326033,0.002137579085706697,0.3129467821070074,0,0,110297088,1e-05,adamw,0.4,verified-v3-adamw-1e-5,2,1563,1196.1101657111417
5.3729072006948275,0.699674168405434,537.3497613353733,0,1.0,110297088,110297088,0.014055250100945126,10.794432077525855,0.004492242832395164,0.41988946614011025,0,0,1.7210972574726526,0.7551106855750226,579.9250065216173,0,1.0,110297088,110297088,0.026445023835807813,20.3097783059004,0.0014389950412202622,0.2762357224293774,0,0,110297088,1e-05,adamw,0.6,verified-v3-adamw-1e-5,3,2345,1196.0411316033228
5.653926653857496,0.6989648032644064,536.8049689070641,0,1.0,110297088,110297088,0.014352939275651615,11.023057363700442,0.0047272573881941195,0.41693522159737456,0,0,1.0308416008321133,0.7563850641648652,580.9037292786164,0,1.0,110297088,110297088,0.02669390073086433,20.500915761303805,0.0008618883604135064,0.27084015799339634,0,0,110297088,1e-05,adamw,0.8,verified-v3-adamw-1e-5,4,3126,1196.0268268822524
5.732237548496263,0.6980986077131416,536.1397307236927,0,1.0,110297088,110297088,0.014340696446974633,11.013654871276518,0.004792735464145185,0.4173904039848923,0,0,0.38894723200287756,0.7538427237556551,578.9512118443431,0,1.0,110297088,110297088,0.02521867217535268,19.36794023067086,0.00032519957115006705,0.2780721032174371,0,0,110297088,1e-05,adamw,1.0,verified-v3-adamw-1e-5,5,3907,1196.026275887656
7.615388754880617,0.7482616187783352,574.6649232217613,0,1.0,110297088,110297088,0.021899779799518584,16.819030886030273,0.006367057666470064,0.3097374514588208,0,0,7.615388754880617,0.7482616187783352,574.6649232217613,0,1.0,110297088,110297088,0.021899779799518584,16.819030886030273,0.006367057666470064,0.3097374514588208,0,0,110297088,3e-05,adamw,0.2,verified-v3-adamw-3e-5,1,782,1196.0609050212413
