state,learning_rate,optimizer,run_id,step,stage,task,baseline_margin,baseline_shortlist_ndcg,helpful_mass,degrading_mass,helpful_share,first_order_half_l1,first_order_helpful_mass,first_order_degrading_mass,direct_sum,renormalization_sum,switching_sum,fixed_negative_sum,actual_sum,first_order_sum,finite_vs_first_order_l1,finite_vs_first_order_relative_l1,switching_fraction,queries_with_any_switch_fraction,baseline_negative_tie_queries,max_coordinate_energy,switching_to_total_mass
pretrained,,pretrained,pretrained,0,0,ArguAna,0.19024540603523388,1.0,0.10614868877721499,0.09912036345829832,0.5171197880108416,0.1037660225320261,0.10376602253202614,0.10376602253202608,-0.19024540603523393,0.1902693420845514,-0.007052261368234121,2.3936049317448138e-05,-0.007028325318916673,-6.418476861114186e-17,0.00752173736419489,0.03664330926790125,0.006510416666666667,0.25,0,0.04682551494315808,0.0343561841954762
pretrained,,pretrained,pretrained,0,0,ClimateFEVER,-0.0018040639779454675,0.7195575277179698,0.12474414907616238,0.10517730449105399,0.5425511501461261,0.11414533605393896,0.114145336053939,0.11414533605393894,0.0018040639779454246,-0.0017448939190096496,-0.01962601464404415,5.917005893577368e-05,-0.019566844585108375,-5.2909066017292616e-17,0.020070341269480402,0.08729216416341479,0.029134114583333332,0.125,0,0.029459438713234216,0.08535964930435072
pretrained,,pretrained,pretrained,0,0,DBPedia,0.2506115116867823,1.0,0.108057763137168,0.10662737168737216,0.50333137049979,0.1067096789207128,0.10670967892071279,0.1067096789207128,-0.2506115116867823,0.2504687039818889,-0.0012875837449024298,-0.00014280770489340927,-0.001430391449795839,2.168404344971009e-17,0.002126984425846473,0.00990746018621566,0.0008138020833333334,0.1875,0,0.02655411645136719,0.005997544943923379
pretrained,,pretrained,pretrained,0,0,FEVER,0.324690881642145,1.0,0.1170368031295661,0.1071753524107402,0.521991338281954,0.11085447030417084,0.11085447030417084,0.11085447030417082,-0.32469088164214505,0.32451415182105026,-0.009684720897731165,-0.00017672982109475342,-0.009861450718825918,-2.5587171270657905e-17,0.010433537701758965,0.046534219684103366,0.009847005208333334,0.25,0,0.026255816250928172,0.043194450695114774
pretrained,,pretrained,pretrained,0,0,FiQA2018,0.1957893318432082,0.9769331095982161,0.11707532377776969,0.1041508502064134,0.5292109955585101,0.11067852396803798,0.11067852396803801,0.11067852396803797,-0.19578933184320824,0.1957012567842406,-0.012836398512388672,-8.807505896762068e-05,-0.012924473571356293,-4.423544863740858e-17,0.013444217091723913,0.06077136737303575,0.013834635416666666,0.375,0,0.02752229847462364,0.05802386888138486
pretrained,,pretrained,pretrained,0,0,HotpotQA,0.2388912186332033,1.0,0.11063187000555388,0.10110484620911692,0.5224973352915748,0.10574979185602751,0.10574979185602754,0.10574979185602751,-0.23889121863320334,0.2388064654841804,-0.009442270647414068,-8.475314902291024e-05,-0.009527023796436978,-3.0357660829594124e-17,0.010103701779401404,0.04771823215184698,0.008626302083333334,0.1875,0,0.019284773474719068,0.04459439447356382
pretrained,,pretrained,pretrained,0,0,MSMARCO,0.31414601232921247,1.0,0.11617511691953167,0.09427898932767123,0.5520211460406025,0.10558261378810457,0.10558261378810456,0.10558261378810459,-0.31414601232921247,0.31402715365996015,-0.021777268922608145,-0.000118858669252285,-0.02189612759186043,1.9081958235744878e-17,0.022380144831935005,0.10634216281647133,0.022054036458333332,0.125,0,0.028430722953571467,0.10347751968796562
pretrained,,pretrained,pretrained,0,0,NFCorpus,0.003657188598679747,0.6750990540919285,0.13506113855934015,0.09738367806113363,0.5810460328735244,0.11556105740989638,0.11556105740989636,0.11556105740989639,-0.0036571885986797256,0.003686255390823708,-0.03770652729035048,2.906679214398052e-05,-0.03767746049820651,2.2551405187698492e-17,0.03805700611960988,0.16372490758418493,0.036295572916666664,0.25,0,0.049408370370492366,0.1622171138877927
pretrained,,pretrained,pretrained,0,0,NQ,0.33538111920136693,1.0,0.12975824489519017,0.10974140314200619,0.5417888750927834,0.11814057972580919,0.11814057972580921,0.11814057972580916,-0.335381119201367,0.3351462519649532,-0.019781974516770242,-0.00023486723641375634,-0.020016841753184002,-2.6020852139652106e-17,0.020430457727493273,0.08530475052856966,0.020751953125,0.25,0,0.021701113656174116,0.08259709222494528
pretrained,,pretrained,pretrained,0,0,QuoraRetrieval,0.44661883461961993,1.0,0.1045451714935894,0.10440083569144182,0.5003453901897723,0.10410908695604941,0.1041090869560494,0.10410908695604942,-0.44661883461961993,0.4465048616753028,-3.0362857830371764e-05,-0.0001139729443172012,-0.00014433580214757297,2.2985086056692694e-17,0.000833143403380092,0.003987362164055643,8.138020833333333e-05,0.0625,0,0.023700213140003454,0.00014531437206878077
pretrained,,pretrained,pretrained,0,0,SCIDOCS,0.10251803338526397,0.8755000588751274,0.11518433021324798,0.10526034368859599,0.5225090185872914,0.10947260757698074,0.10947260757698075,0.10947260757698071,-0.102518033385264,0.10240196578257815,-0.009807918921966136,-0.0001160676026858605,-0.009923986524651995,-2.7755575615628914e-17,0.010588462380918921,0.04803228943346384,0.009114583333333334,0.1875,0,0.05646255032149848,0.044491521379796395
pretrained,,pretrained,pretrained,0,0,SciFact,0.25333793115694897,0.9769331095982161,0.14011782235589842,0.09327213640968572,0.6003592575147252,0.11245170819434314,0.11245170819434314,0.11245170819434315,-0.25333793115694897,0.2532437263832954,-0.046751481172559124,-9.420477365358962e-05,-0.04684568594621271,1.474514954580286e-17,0.04709977675876016,0.20180721144934505,0.051350911458333336,0.375,0,0.03390698307187292,0.2003148782399679
pretrained,,pretrained,pretrained,0,0,TRECCOVID,0.047294230461756126,0.8578826621279816,0.10008196322267726,0.09946349105134802,0.5015497024815206,0.09974028584446853,0.09974028584446856,0.09974028584446853,-0.04729423046175617,0.04730012614801712,-0.0006243678575901784,5.895686260949662e-06,-0.0006184721713292287,-3.2959746043559335e-17,0.0013319267345832844,0.006674803690362294,0.0008951822916666666,0.1875,0,0.021059941062624148,0.003128950543432409
