defined,exact_feature,exact_minus_original,exact_value,original_feature,original_value,relationship,run_id,stage
True,exact_nonzero_saved_segment_stable_rank_fraction,-0.09999999999999998,0.2270584376145432,saved_segment_stable_rank_fraction,0.3270584376145432,exact_rank_and_nonzero_denominator,verified-v3-adamw-1e-6,1
True,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,-0.09999999999999998,0.23995262493497388,saved_segment_sketch_effective_rank_fraction,0.33995262493497386,full_spectrum_and_nonzero_denominator,verified-v3-adamw-1e-6,1
True,exact_nonzero_cumulative_stable_rank_fraction,-0.12976365031656323,0.252098113564913,cumulative_stable_rank_fraction,0.38186176388147625,exact_rank_and_nonzero_denominator,verified-v3-adamw-1e-6,1
True,exact_mean_saved_segment_overlap_to_adamw,0.0,0.3770100124093887,mean_saved_segment_subspace_overlap_to_adamw,0.3770100124093887,exact_projectors_complete_comparator_population,verified-v3-adamw-1e-6,1
True,exact_mean_cumulative_overlap_to_adamw,5.551115123125783e-17,0.37161400251223525,mean_cumulative_subspace_overlap_to_adamw,0.3716140025122352,exact_projectors_complete_comparator_population,verified-v3-adamw-1e-6,1
True,exact_nonzero_saved_segment_stable_rank_fraction,-0.09999999999999998,0.252098113564913,saved_segment_stable_rank_fraction,0.352098113564913,exact_rank_and_nonzero_denominator,verified-v3-adamw-1e-6,2
True,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,-0.09999999999999998,0.2732508808940671,saved_segment_sketch_effective_rank_fraction,0.3732508808940671,full_spectrum_and_nonzero_denominator,verified-v3-adamw-1e-6,2
True,exact_nonzero_cumulative_stable_rank_fraction,-0.10509420424763927,0.28893858507647135,cumulative_stable_rank_fraction,0.3940327893241106,exact_rank_and_nonzero_denominator,verified-v3-adamw-1e-6,2
True,exact_mean_saved_segment_overlap_to_adamw,0.0,0.3201253374282515,mean_saved_segment_subspace_overlap_to_adamw,0.3201253374282515,exact_projectors_complete_comparator_population,verified-v3-adamw-1e-6,2
True,exact_mean_cumulative_overlap_to_adamw,-5.551115123125783e-17,0.3048359807342811,mean_cumulative_subspace_overlap_to_adamw,0.30483598073428114,exact_projectors_complete_comparator_population,verified-v3-adamw-1e-6,2
