centered_log10_learning_rate,cumulative_displacement_to_weight_ratio,cumulative_stable_rank_fraction,dose_index,learning_rate,log_saved_segment_to_weight_ratio,mean_cumulative_subspace_overlap_to_adamw,mean_ndcg_at_10,mean_saved_segment_subspace_overlap_to_adamw,optimizer,progress_fraction,run_id,saved_segment_row_norm_cv,saved_segment_sketch_effective_rank_fraction,saved_segment_stable_rank_fraction,saved_segment_top_1pct_row_energy,stage
-0.7385606273598313,0.3732508808940671,0.38186176388147625,1,1e-06,-1.1594546591802637,0.3716140025122352,0.53125,0.3770100124093887,adamw,0.2,verified-v3-adamw-1e-6,0.352098113564913,0.33995262493497386,0.3270584376145432,0.36326730115163863,1
-0.7385606273598313,0.3997321807421731,0.3940327893241106,1,1e-06,-1.1176164157499546,0.30483598073428114,0.52734375,0.3201253374282515,adamw,0.4,verified-v3-adamw-1e-6,0.38893858507647133,0.3732508808940671,0.352098113564913,0.39799080613986143,2
-0.7385606273598313,0.3625359895733854,0.32615161194651987,1,1e-06,-1.0789490095069778,0.24174095223223283,0.5234375,0.25861851046218187,adamw,0.6,verified-v3-adamw-1e-6,0.3997321807421731,0.3943487272412574,0.3732508808940671,0.3885045922775661,3
-0.7385606273598313,0.2854115136257218,0.23600698626896632,1,1e-06,-1.0438454105040058,0.21876529080661924,0.51953125,0.2222862427962556,adamw,0.8,verified-v3-adamw-1e-6,0.38131784907920924,0.3997321807421731,0.38893858507647133,0.3390884778898452,4
-0.7385606273598313,0.2176015658788374,0.20034103501015238,1,1e-06,-1.0126163488933817,0.24296157344734895,0.515625,0.2252353594090508,adamw,1.0,verified-v3-adamw-1e-6,0.3390884778898452,0.3885045922775661,0.39799080613986143,0.27203713132189034,5
-0.2614393726401687,0.3997321807421731,0.3940327893241106,2,3e-06,-1.1176164157499546,0.31897952977441146,0.517578125,0.33177128930805483,adamw,0.2,verified-v3-adamw-3e-6,0.38893858507647133,0.3732508808940671,0.352098113564913,0.39799080613986143,1
-0.2614393726401687,0.2854115136257218,0.23600698626896632,2,3e-06,-1.0438454105040058,0.2543927629561494,0.521484375,0.25480431324267433,adamw,0.4,verified-v3-adamw-3e-6,0.38131784907920924,0.3997321807421731,0.38893858507647133,0.3390884778898452,2
-0.2614393726401687,0.20240177374582402,0.24951697492105412,2,3e-06,-0.9855044825011424,0.3181386130462809,0.525390625,0.29425631057238466,adamw,0.6,verified-v3-adamw-3e-6,0.2854115136257218,0.3625359895733854,0.3997321807421731,0.2176015658788374,3
-0.2614393726401687,0.3288648250973187,0.3983486990221087,2,3e-06,-0.9443338268086825,0.31931529887192267,0.529296875,0.3360769618296065,adamw,0.8,verified-v3-adamw-3e-6,0.205343684469389,0.2854115136257218,0.38131784907920924,0.22804283271794923,4
-0.2614393726401687,0.3933759771817651,0.2835528649487564,2,3e-06,-0.9213263741156139,0.24321001496109287,0.533203125,0.28124440174765925,adamw,1.0,verified-v3-adamw-3e-6,0.22804283271794923,0.2176015658788374,0.3390884778898452,0.3536947602448012,5
